canonical_key,match_value,display_term,enriched_description,category,potential
knife-cut-noodles,刀削麵,刀削麵,"Hand-shaved wheat noodles (刀削麵) with irregular chewy texture, a Shanxi specialty widely available in HK noodle restaurants",fnb,high
matcha-ice-cream,抹茶雪糕,抹茶雪糕,"Green tea flavored ice cream, a perennially popular Japanese dessert item in HK from convenience stores to premium matcha specialty shops",fnb,high
tofu-ice-cream,豆腐雪糕,豆腐雪糕,"Soy-based ice cream with subtle tofu flavor (豆腐雪糕), a lighter dessert alternative popular in HK health-conscious and dessert scenes",fnb,high
pistachio-matcha,開心果抹茶,開心果抹茶,"Trending flavor combination of pistachio and matcha (開心果抹茶) appearing in HK desserts, lattes, and baked goods",fnb,high
iced-matcha-latte,凍抹茶拿鐵,凍抹茶拿鐵,"Cold green tea latte (凍抹茶拿鐵), a staple beverage in HK specialty coffee shops and Japanese-style cafes",fnb,low
tea-drinks,茶飲,茶飲,Broad tea-based beverage category (茶飲) in HK from traditional milk tea to modern fruit tea shops and bubble tea chains,fnb,low
hk-buffet,放題,放題,"All-you-can-eat buffet dining format (放題) hugely popular in HK, ranging from Japanese to hotpot to international spreads",fnb,low
planet-cake,星球蛋糕,星球蛋糕,"Sphere-shaped decorative cake (星球蛋糕) with galaxy-themed designs, a viral HK bakery trend popular for celebrations and social media",fnb,high
hk-fried-chicken,香港炸鸡,香港炸雞,"Hong Kong fried chicken scene including Korean-style, Taiwanese-style, and local Cantonese fried chicken, a competitive F&B category",fnb,low
self-service-ramen-machine,自助拉麵機,自助拉麵機,"Automated ramen vending machine concept (自助拉麵機) offering self-serve Japanese ramen, an emerging HK F&B innovation",fnb,high
frozen-yogurt,frozenyogurt,Froyo,"Soft-serve frozen yogurt (Froyo) with customizable toppings, a recurring HK dessert trend with dedicated froyo chains and cafe offerings",fnb,low
pistachio,pistachio,開心果,"Trending nut ingredient (開心果) dominating HK desserts and beverages in 2025-2026, from pistachio lattes to mochi and chocolate fillings",fnb,high
cat-cafe,貓cafe,貓Cafe,"Cat-themed cafe concept (貓Cafe) where patrons interact with cats while enjoying drinks and light food, a niche HK cafe format",fnb,high
mentaiko,明太子,明太子,"Japanese marinated pollock roe (明太子), a popular ingredient in HK Japanese-fusion pasta, rice dishes, and appetizers",fnb,high
lo-mein,撈麵,撈麵,"Tossed noodles (撈麵) served with soy-based sauce and toppings, a versatile HK noodle dish from street stalls to restaurants",fnb,high
wonton-noodles,雲吞麵,雲吞麵,"Quintessential HK noodle soup (雲吞麵) with shrimp wontons, springy egg noodles, and clear broth, a defining dish of Cantonese comfort food",fnb,high
cake,自私蛋糕,蛋糕,Broad cake category in HK from traditional Chinese sponge cakes to premium Western-style celebration cakes from artisanal bakeries,fnb,high
cake,生日蛋糕,蛋糕,Broad cake category in HK from traditional Chinese sponge cakes to premium Western-style celebration cakes from artisanal bakeries,fnb,high
durian,榴槤,榴槤,"Pungent tropical fruit beloved across Southeast Asia, a polarizing but hugely popular dessert ingredient in HK from durian mochi to ice cream",fnb,high
cheung-chau-fishball,長洲大魚旦,長洲大魚蛋,"Oversized fish balls (長洲大魚蛋) from Cheung Chau island, a famous HK street food snack known for their extra-large size and bouncy texture",fnb,high
beijing-cuisine,京式料理,京式料理,"Beijing-style cuisine featuring Peking duck, zhajiang noodles, and imperial court dishes, represented in HK's northern Chinese restaurants",fnb,low
hk-style-food,茶餐廳,港式美食,Distinctive Hong Kong culinary style blending Cantonese traditions with Western and Southeast Asian influences,fnb,low
sichuan-cuisine,香港川菜,川菜,"Fiery Sichuan cuisine (川菜) with numbing mala peppers, mapo tofu, and spicy hotpot, hugely popular in HK's spicy food scene",fnb,low
michelin-bib-gourmand,米芝蓮推介,Michelin Bib Gourmand,Michelin Bib Gourmand award recognizing restaurants offering quality food at moderate prices,fnb,high
bamboo-pole-noodles,竹昇麵,竹昇麵,"Traditional Cantonese noodles pressed with a bamboo pole (竹昇麵) for springy texture, an artisanal noodle-making craft preserved in a few HK shops",fnb,high
shark-fin-rice,魚翅撈飯,魚翅撈飯,"Luxury Cantonese dish of shark fin served over rice (魚翅撈飯), historically a status symbol in HK dining now increasingly replaced by imitation alternatives",fnb,low
thai-bbq,泰式燒烤,泰式燒烤,"Thai-style mookata barbecue combining grill and hotpot in one pan, a popular HK dining experience especially in Kowloon City",fnb,low
northern-noodles,北方面食,北方面食,"Northern Chinese-style wheat noodles (北方面食) including hand-pulled lamian and knife-cut noodles, well-represented in HK's Chinese noodle shops",fnb,high
tea,茶,茶,Broad tea category central to HK culture from milk tea and yuenyeung at cha chaan teng to premium Chinese tea at dim sum restaurants,fnb,high
aburi,aburi,Aburi,"Japanese technique of partially flame-searing fish or meat (炙り), a popular sushi and sashimi preparation style in HK Japanese restaurants",fnb,high
specialty-coffee,手沖精品,精品咖啡,"High-quality artisanal coffee culture, including pour-over, single-origin beans, and third-wave coffee shops",fnb,high
hunan-cuisine-hk,香港湘菜,香港湘菜,"Hunan-region cuisine (湘菜) featuring smoked meats, pickled chilies, and bold spicy flavors, a growing Chinese regional food category in HK",fnb,high
theme-restaurant,主題餐廳,主題餐廳,"Themed dining venues (主題餐廳) in HK ranging from cartoon character cafes to immersive experience restaurants, popular for special occasions and social media",fnb,low
handmade-pasta,手工意粉,手工意粉,"Fresh artisanal pasta made by hand (手工意粉), a premium offering in HK Italian restaurants emphasizing texture and craftsmanship",fnb,high
japanese-sake-hk,香港日本酒,香港日本酒,"Japanese sake culture in HK including sake bars, tasting events, and sake pairing dinners, a growing segment of HK's beverage scene",fnb,low
beans-cafe,beanscafe,Beans Cafe,"Popular HK cafe chain known for coffee, desserts, and casual all-day dining in a cozy setting",poi,medium
buffet,中環自助餐,自助餐,"Self-service all-you-can-eat dining format, a dominant HK hotel and restaurant offering from breakfast to dinner",fnb,low
brazilian-bbq,巴西烤肉,巴西烤肉,"Brazilian rodizio-style all-you-can-eat grilled meats carved tableside, a niche but distinctive HK dining experience",fnb,high
coffee-tart,咖啡撻,咖啡撻,"HK-style egg tart variation with coffee-flavored custard filling (咖啡撻), a trending bakery innovation blending two HK obsessions",fnb,high
viet-thai-cuisine,越泰料理,越泰料理,"Restaurants serving both Vietnamese and Thai cuisine (越泰料理), a common HK Southeast Asian restaurant format offering pho, curries, and stir-fries",fnb,low
hk-steak,香港牛扒,香港牛扒,"HK-style sizzling plate steak (鐵板牛扒) served with black pepper or mushroom sauce at cha chaan teng and budget Western restaurants, a nostalgic comfort food",fnb,high
cantonese-restaurant,香港傳統茶樓,粵式酒樓,"Traditional Cantonese banquet-style restaurant (酒樓), serving dim sum and elaborate dinner courses",fnb,low
indian-cuisine,印度料理,印度菜,"Indian cuisine ranging from North Indian curries to South Indian dosas, with a long-established HK presence",fnb,low
happy-valley-food,跑馬地美食,跑馬地美食,"Dining in Happy Valley featuring upscale restaurants along the racecourse, French bistros, and neighborhood eateries in an affluent residential area",fnb,low
hk-spring-onion,香港蔥,香港蔥,"Spring onion (蔥) as a key HK cooking ingredient, notably in ginger-scallion oil served with poached chicken and seafood",fnb,high
cat-cafe,貓啡,貓Cafe,"Cat-themed cafe concept (貓Cafe) where patrons interact with cats while enjoying drinks and light food, a niche HK cafe format",fnb,high
snack-station,零食台,零食台,"Self-serve snack bars and candy stations (零食台) at HK events, parties, and weddings offering a variety of packaged and bulk snacks",fnb,low
tai-wai-food,大圍美食,大圍美食,"Dining scene in Tai Wai featuring neighborhood cha chaan teng, hotpot restaurants, and street-level eateries in this growing Shatin-area community",fnb,low
cheese,cheese,芝士,"Broad cheese category from processed cheese in HK-style dishes to artisanal cheeses in Western restaurants and gourmet shops, an increasingly important HK ingredient",fnb,high
tartar-sauce,tartarsauce,他他醬,"Creamy condiment of mayonnaise, pickles, and capers (他他醬), commonly served with fried seafood and fish and chips in HK Western restaurants",fnb,low
fish-finger-sandwich,fishfingersandwich,魚手指三文治,"HK-style sandwich with crispy fish fingers (魚手指三文治), a nostalgic cha chaan teng and Hong Kong-style cafe lunch item",fnb,high
apple-juice,applejuice,蘋果汁,"Fresh and packaged apple juice (蘋果汁), a staple beverage in HK cafes, juice bars, and supermarket drink aisles",fnb,low
pineapple-bun,pineapplebun,菠蘿包,"HK bakery classic (菠蘿包) with sweet crumbly cookie crust on a soft bun, best enjoyed with a slab of cold butter (菠蘿油) at cha chaan teng",fnb,high
salmon,三文魚,三文魚,"Atlantic and Norwegian salmon (三文魚), the most popular raw fish in HK sushi restaurants and a common Western restaurant protein",fnb,high
dried-squid-pork-patty,土魷肉餅,土魷肉餅,"Traditional Cantonese steamed pork patty with dried squid (土魷肉餅), a deeply savory home-style dish found in HK claypot rice and family restaurants",fnb,high
rice-paper-cooking,米紙料理,米紙料理,"Cooking with Vietnamese rice paper (米紙料理) for spring rolls and wraps, a trending HK social media food content format showing creative rice paper recipes",fnb,high
malatang,malatang,麻辣燙,"Sichuan-style self-serve spicy hotpot (麻辣燙) where diners pick skewered ingredients cooked in numbing mala broth, a massive HK food trend",fnb,high
natto,natto,納豆,"Japanese fermented soybeans (納豆) with distinctive texture and flavor, a niche health food gaining traction in HK's Japanese food and wellness communities",fnb,low
hk-style-food,港式,港式美食,Distinctive Hong Kong culinary style blending Cantonese traditions with Western and Southeast Asian influences,fnb,low
hk-style-food,港式美食,港式美食,Distinctive Hong Kong culinary style blending Cantonese traditions with Western and Southeast Asian influences,fnb,low
pork-stomach-chicken-soup,豬肚雞,豬肚雞,"Traditional Cantonese soup with chicken stuffed in pork stomach (豬肚雞), a comforting and reputedly restorative dish popular in HK winter and hotpot restaurants",fnb,high
hotpot,火鍋,火鍋,"Hot pot dining format where diners cook raw ingredients in simmering broth at the table, a HK staple",fnb,high
fish-maw,花膠,花膠,"Dried fish swim bladder (花膠), a luxury Cantonese ingredient prized for its texture and collagen content, served in soups and braised dishes at HK banquets",fnb,high
claypot-rice,煲仔飯,煲仔飯,"HK winter comfort food (煲仔飯) of rice cooked in a claypot with toppings like Chinese sausage and cured meats, developing a crispy bottom crust",fnb,high
roast-pigeon,乳鴿,乳鴿,"Cantonese roasted whole young pigeon (乳鴿) with crispy skin and tender meat, a signature HK restaurant dish especially in Shatin and New Territories",fnb,high
side-dishes,小菜,小菜,"Korean banchan-style side dishes (小菜) served with meals, an essential component of HK Korean restaurants and increasingly adopted in other cuisines",fnb,high
otah,otah,Otah,"Spicy grilled fish paste wrapped in banana leaf (Otah/Otak-otak), a Southeast Asian delicacy found in HK's Singaporean and Malaysian restaurants",fnb,high
home-style-cooking,homecooking,住家菜,"Comfort food cooked in a home-style manner (住家菜), emphasizing simple preparation, fresh ingredients, and nostalgic HK flavors",fnb,low
ramen,ramen,拉麵,"Japanese wheat noodle soup dish, one of HK's most popular dining categories with dedicated ramen shops across every district",fnb,high
crab-salt-ramen,蟹塩ラーメン,蟹塩拉麵,"Ramen flavored with crab and sea salt (蟹塩拉麵), a lighter seafood-based ramen style emerging in HK's competitive ramen scene",fnb,high
thai-hainanese-chicken-rice,泰式海南雞飯,泰式海南雞飯,"Thai-style Hainanese chicken rice with stronger ginger-garlic flavors and spicier dipping sauce, found in HK's Thai restaurant scene",fnb,low
thai-food,thai,泰國菜,"Thai cuisine featuring bold flavors of sweet, sour, spicy, and savory, with strong presence in HK's九龙城 district",fnb,low
thai-braised-pork-knuckle-rice,泰式豬手飯,泰式豬手飯,"Thai-style braised pork knuckle over rice (泰式豬手飯), a popular HK Thai restaurant dish inspired by Bangkok's street food classic",fnb,low
hk-drinks,drink,香港飲品,"Hong Kong beverage culture including milk tea (奶茶), yuenyeung (鴛鴦), lemon tea, and craft beer",fnb,low
hk-drinks,beverage,香港飲品,"Hong Kong beverage culture including milk tea (奶茶), yuenyeung (鴛鴦), lemon tea, and craft beer",fnb,low
bak-kut-teh,bkt,肉骨茶,"Herbal pork rib soup (肉骨茶) from Malaysia and Singapore, available in HK's Southeast Asian restaurants in both peppery Teochew and herbal Hokkien styles",fnb,high
thai-food,thaifood,泰國菜,"Thai cuisine featuring bold flavors of sweet, sour, spicy, and savory, with strong presence in HK's九龙城 district",fnb,low
korean-bbq,koreanbbq,韓燒,"Korean barbecue dining format where diners grill marinated meats at tabletop grills, hugely popular in HK",fnb,high
yukhoe,yukhoe,Yukhoe,"Korean-style seasoned raw beef tartare (Yukhoe), served in HK Korean BBQ restaurants as a premium appetizer with pear and egg yolk",fnb,high
hk-steak,牛扒,香港牛扒,"HK-style sizzling plate steak (鐵板牛扒) served with black pepper or mushroom sauce at cha chaan teng and budget Western restaurants, a nostalgic comfort food",fnb,high
stone-grilled-beef,石燒牛,石燒牛,"Beef cooked on a hot stone plate at the table (石燒牛), a popular HK dining format giving diners control over doneness with dramatic presentation",fnb,high
hk-buffet,任食,放題,"All-you-can-eat buffet dining format (放題) hugely popular in HK, ranging from Japanese to hotpot to international spreads",fnb,low
dumplings,日式餃子,餃子,"Broad dumpling category spanning Chinese jiaozi, wontons, and xiaolongbao, a cornerstone of HK's comfort food culture",fnb,high
seafood-vegetable-pancake,海鮮雜菜餅,海鮮雜菜餅,"Korean-style savory pancake (海鮮雜菜餅) with mixed seafood and vegetables, a staple appetizer in HK Korean restaurants",fnb,high
hotpot,潮汕牛肉火鍋,火鍋,"Hot pot dining format where diners cook raw ingredients in simmering broth at the table, a HK staple",fnb,high
portuguese-roast-suckling-pig,SucklingPig,葡式烤乳豬,"Macanese-Portuguese style roast suckling pig with crispy skin, a signature dish in HK Macanese restaurants",fnb,high
bing-sutt,chachanteng,冰室,"Traditional HK-style ice room (冰室) serving affordable local comfort food and drinks, a nostalgic dining institution",fnb,high
crispy-pork-belly,crispyporkbelly,脆皮燒肉,"Cantonese roast pork with crackling skin (脆皮燒肉), a siu mei staple and one of HK's most beloved meat dishes, eaten with mustard or sugar",fnb,high
siu-mei,RoastedDuck,燒味,"Cantonese roasted meats (燒味) including char siu, roast duck, and crispy pork belly, a cornerstone of HK everyday dining",fnb,high
bar-restaurant,rooftopbar,酒吧餐廳,"Hybrid bar and restaurant concept serving food alongside alcoholic beverages, common HK nightlife format",fnb,low
uni-pasta,uni,海膽意粉,"Pasta dish featuring sea urchin (uni) as the star ingredient, a luxury fusion dish popular in HK Japanese-Italian restaurants",fnb,high
night-market,nightmarket,夜市,"Night market dining (夜市) featuring street food stalls and open-air eating, from Temple Street in HK to Taipei-style markets recreated in HK food events",fnb,low
hk-souvenirs,souvenir,香港手信,"Edible Hong Kong souvenirs and gifts (手信) including cookies, egg rolls, wife cakes, and preserved fruits",fnb,low
jowar,jowar,Jowar,"Sorghum grain (Jowar) used in Indian flatbreads and porridge, a niche health food ingredient appearing in HK's Indian and health food stores",fnb,high
millets,millets,Millets,"Ancient small-seeded grains (Millets) trending as gluten-free alternatives, appearing in HK health food products and specialty bakeries",fnb,high
sorghum,sorghum,Sorghum,"Gluten-free ancient grain (Sorghum) used in flour and syrup, a niche health food ingredient in HK's wellness and specialty food scene",fnb,high
indian-cuisine,indianfood,印度菜,"Indian cuisine ranging from North Indian curries to South Indian dosas, with a long-established HK presence",fnb,low
hk-vegetarian,vegeterian,香港素食,"Hong Kong vegetarian and plant-based dining scene, from traditional Buddhist vegetarian restaurants to modern vegan cafes",fnb,low
hk-vegetarian,veganfood,香港素食,"Hong Kong vegetarian and plant-based dining scene, from traditional Buddhist vegetarian restaurants to modern vegan cafes",fnb,low
bread-buffet,麵包放題,麵包放題,All-you-can-eat bread service (麵包放題) offered as an add-on at HK hotel buffets and some Japanese-style Western restaurants,fnb,low
matcha-ice-cream,matcha,抹茶雪糕,"Green tea flavored ice cream, a perennially popular Japanese dessert item in HK from convenience stores to premium matcha specialty shops",fnb,high
iced-matcha-latte,matchalatte,凍抹茶拿鐵,"Cold green tea latte (凍抹茶拿鐵), a staple beverage in HK specialty coffee shops and Japanese-style cafes",fnb,low
mango-mochi-shaved-ice,芒果糯米糍冰,芒果糯米糍冰,"HK dessert combining mango, mochi, and shaved ice (芒果糯米糍冰), a popular summer dessert found in HK dessert shops and sweet soup stalls",fnb,high
hk-egg-tart,酥皮蛋撻,香港蛋撻,"Iconic HK baked pastry (蛋撻) with silky egg custard in flaky or cookie crust, the quintessential local bakery item and cha chaan teng staple",fnb,high
cake,青森蘋果紅茶戚風蛋糕,蛋糕,Broad cake category in HK from traditional Chinese sponge cakes to premium Western-style celebration cakes from artisanal bakeries,fnb,high
cake,戚風蛋糕,蛋糕,Broad cake category in HK from traditional Chinese sponge cakes to premium Western-style celebration cakes from artisanal bakeries,fnb,high
black-tea-cake,紅茶蛋糕,紅茶蛋糕,"Cake infused with black tea flavor (紅茶蛋糕), a popular HK bakery item blending Western cake techniques with Asian tea culture",fnb,high
low-calorie-snacks,低卡零食,低卡零食,Health-oriented reduced-calorie snack options (低卡零食) trending in HK's fitness and wellness consumer market,fnb,low
protein-bar,蛋白棒,蛋白棒,High-protein nutrition bars (蛋白棒) popular in HK's fitness community as meal replacements and post-workout snacks,fnb,low
high-protein-food,高蛋白,高蛋白食品,"Protein-rich food category (高蛋白食品) driven by HK's fitness and gym culture, including chicken breast, protein shakes, and high-protein meal prep",fnb,low
health-food,健康食品,健康食品,"Broad health food category (健康食品) in HK encompassing organic produce, superfoods, supplements, and clean-eating restaurant concepts",fnb,low
thai-hotpot,泰式火鍋,泰式火鍋,"Thai-style hotpot combining aromatic Thai broths with fresh seafood and meat, a popular variant in HK's diverse hotpot restaurant scene",fnb,low
chiuchow-beef-ball,潮州牛肉丸,潮州牛肉丸,"Chaozhou-style bouncy beef balls (潮州牛肉丸) with distinctive springy texture, a HK noodle soup and hotpot staple",fnb,high
beef-tendon-ball,爆汁牛筋丸,牛筋丸,"Beef tendon balls (牛筋丸) with extra bouncy and chewy texture, a premium hotpot and noodle topping in HK Chiuchow-style eateries",fnb,high
hk-desserts,香港糖水,香港糖水,"Hong Kong dessert culture (糖水) including red bean soup, mango pomelo sago, black sesame soup, and tofu fa",fnb,low
green-sichuan-pepper-beef-bone-pot,青麻椒牛骨鍋,青麻椒牛骨鍋,"Sichuan-style beef bone hotpot with green peppercorns (青麻椒牛骨鍋), a trending spicy HK hotpot variety emphasizing numbing mala flavor",fnb,high
slow-cook-wagyu,日本A4和牛,慢煮和牛,"Slow-cooked wagyu beef, a premium Japanese beef preparation method trending in HK fine dining",fnb,high
numbing-spicy-hotpot,香麻火鍋,香麻火鍋,"Mala numbing-spicy hotpot (香麻火鍋) from Sichuan, one of HK's dominant hotpot trends featuring tongue-numbing Sichuan peppercorns and chili oil broth",fnb,low
chicken-collagen-soup,雞的骨膠原湯,雞骨膠原湯,"Beauty-focused collagen-rich chicken soup (雞骨膠原湯), a popular HK health and wellness food trend especially among female diners",fnb,high
collagen-hotpot,美人鍋,美人鍋,"Beauty hotpot (美人鍋) with collagen-rich broth made from chicken and pork bones, a HK hotpot trend marketed for skin benefits",fnb,high
free-range-chicken,走地雞,走地雞,"Free-range chicken (走地雞) prized for firmer texture and richer flavor, preferred in HK premium Chinese restaurants and home cooking",fnb,high
beef-offal-chicken-pot,牛雜雞煲,牛雜雞煲,"Combination hotpot dish of beef offal and chicken (牛雜雞煲), a hearty HK winter specialty found in street-side hotpot restaurants",fnb,high
chicken-pot,雞煲,雞煲,"HK-style chicken hotpot (雞煲) where chicken is first stir-fried in spicy sauce then broth is added for hotpot, a hugely popular dining format",fnb,high
beef-offal,牛雜,牛雜,"Beef offal and organ meats (牛雜) including tripe, lung, and intestine, a traditional HK street food and hotpot ingredient with devoted following",fnb,high
congee-hotpot,粥底火鍋,粥底火鍋,"Innovative hotpot format using congee (粥底火鍋) as the cooking medium instead of broth, creating silky textures and rich flavor in HK hotpot scene",fnb,high
taiwanese-hotpot,台式火鍋,台式火鍋,"Taiwanese-style hotpot (台式火鍋) featuring milder broths, herbal soup bases, and extensive dipping sauce bars, popular in HK's hotpot market",fnb,low
japanese-food,日本料理,日本菜,"Broad Japanese cuisine category dominating HK's dining scene, from ramen and sushi to izakaya and teppanyaki",fnb,low
sashimi,刺身,刺身,"Fresh raw fish sliced and served without rice, a staple of Japanese dining and HK sushi restaurants",fnb,high
bluefin-tuna,藍鰭吞拿魚,藍鰭吞拿魚,"Premium fatty bluefin tuna (藍鰭吞拿魚) served as sashimi and sushi, the most prized fish in HK Japanese fine dining and omakase restaurants",fnb,high
tuna,吞拿魚,吞拿魚,"Versatile fish (吞拿魚) used in HK from canned tuna sandwiches to premium sashimi, one of the most consumed seafood items across all dining tiers",fnb,high
hk-buffet,吃到飽,放題,"All-you-can-eat buffet dining format (放題) hugely popular in HK, ranging from Japanese to hotpot to international spreads",fnb,low
teppanyaki,teppanyaki,鐵板燒,"Japanese cooking style where chefs prepare food on an iron griddle at the table, popular HK dining experience",fnb,high
hida-beef,hidabeef,飛驒和牛,"Premium Japanese wagyu from Hida region (飛驒和牛) known for intense marbling, served in HK's high-end yakiniku and teppanyaki restaurants",fnb,high
hk-steak,steak,香港牛扒,"HK-style sizzling plate steak (鐵板牛扒) served with black pepper or mushroom sauce at cha chaan teng and budget Western restaurants, a nostalgic comfort food",fnb,high
business-lunch,businesslunch,商務午餐,"Midday set meals targeting HK office workers (商務午餐), often multi-course at competitive prices in Central and Admiralty restaurants",fnb,low
kichiji,喜知次,喜知次,"Premium Japanese rockfish (喜知次/Kichiji) prized for its rich fatty flesh, served grilled or simmered in HK high-end Japanese restaurants",fnb,high
japanese-sake-hk,清酒,香港日本酒,"Japanese sake culture in HK including sake bars, tasting events, and sake pairing dinners, a growing segment of HK's beverage scene",fnb,low
donburi,日式丼飯,Donburi,"Japanese rice bowl dish topped with meat, seafood, or vegetables, widely available in HK",fnb,high
keto-diet,生酮飲食,生酮飲食,"Ketogenic low-carb high-fat diet (生酮飲食) with dedicated HK meal prep services, restaurants, and grocery products catering to keto followers",fnb,low
tendon,天丼,天丼,"Japanese tempura rice bowl (天丼) with crispy battered seafood and vegetables over rice, a popular HK Japanese fast-casual dining option",fnb,high
pork,豚肉,豚肉,"Broad pork category (豚肉) central to HK cuisine, from char siu and roast pork to Japanese tonkatsu and European pork chops",fnb,low
tokachi-pork,十勝豚肉,十勝豚肉,"Premium Japanese pork from Tokachi, Hokkaido (十勝豚肉), featured in HK tonkatsu and shabu-shabu restaurants for its superior marbling and sweetness",fnb,high
sea-urchin,seaurchin,海膽,"Luxury seafood ingredient (海膽) with creamy texture and briny sweetness, served as sashimi, on sushi, or in pasta at HK Japanese and fusion restaurants",fnb,high
hida-beef,鹿兒島a5和牛,飛驒和牛,"Premium Japanese wagyu from Hida region (飛驒和牛) known for intense marbling, served in HK's high-end yakiniku and teppanyaki restaurants",fnb,high
shabu-shabu,shabushabu,Shabu Shabu,"Japanese hotpot style (Shabu Shabu) where thinly sliced meat is swished in kombu broth, a popular premium HK dining experience",fnb,high
crab-miso-grill,蟹肉甲羅燒,蟹肉甲羅燒,"Grilled crab meat with miso paste served in the shell (蟹肉甲羅燒), a popular HK Japanese izakaya and seafood restaurant dish",fnb,high
burger,漢堡,漢堡,"Beef patty sandwich (漢堡) spanning fast food chains, gourmet burger joints, and plant-based alternatives, a major HK casual dining category",fnb,high
ranou-egg,蘭王蛋,蘭王蛋,"Premium Japanese Ranou brand eggs (蘭王蛋) with bright orange yolks, prized in HK for raw egg dishes like sukiyaki dipping sauce and tamago kake gohan",fnb,high
hamburg-steak,漢堡扒,漢堡扒,"Japanese-style Salisbury steak (漢堡扒) served with demi-glace sauce, a popular yoshoku comfort food in HK Japanese-Western restaurants",fnb,high
gyukatsu,gyukatsu,Gyukatsu,"Japanese breaded and deep-fried beef cutlet (Gyukatsu) served rare inside, a trending HK Japanese food concept with dedicated specialty restaurants",fnb,high
milk-tea,奶茶,奶茶,"HK-style milk tea (奶茶) made with strong Ceylon tea and evaporated milk, the defining beverage of cha chaan teng culture and HK identity",fnb,high
bing-sutt,香港冰室,冰室,"Traditional HK-style ice room (冰室) serving affordable local comfort food and drinks, a nostalgic dining institution",fnb,high
hk-style-food,ChaChaanTeng,港式美食,Distinctive Hong Kong culinary style blending Cantonese traditions with Western and Southeast Asian influences,fnb,low
hk-style-food,港式茶餐廳,港式美食,Distinctive Hong Kong culinary style blending Cantonese traditions with Western and Southeast Asian influences,fnb,low
afternoon-tea,下午茶,下午茶,"British-style afternoon tea service with finger sandwiches, scones, and pastries, popular HK hotel and cafe offering",fnb,low
salt-pepper-chicken-wing-rice,椒鹽雞翼飯,椒鹽雞翼飯,"HK comfort food of crispy salt and pepper chicken wings over rice (椒鹽雞翼飯), a cha chaan teng and dai pai dong classic",fnb,high
bing-sutt,冰室,冰室,"Traditional HK-style ice room (冰室) serving affordable local comfort food and drinks, a nostalgic dining institution",fnb,high
bing-sutt,港式冰室,冰室,"Traditional HK-style ice room (冰室) serving affordable local comfort food and drinks, a nostalgic dining institution",fnb,high
milk-tea,港式奶茶,奶茶,"HK-style milk tea (奶茶) made with strong Ceylon tea and evaporated milk, the defining beverage of cha chaan teng culture and HK identity",fnb,high
breakfast,早餐,早餐,"HK breakfast culture (早餐) from cha chaan teng macaroni soup sets to congee and dim sum, a diverse morning dining tradition",fnb,low
milk-tea,milktea,奶茶,"HK-style milk tea (奶茶) made with strong Ceylon tea and evaporated milk, the defining beverage of cha chaan teng culture and HK identity",fnb,high
bing-sutt,冰室味道,冰室,"Traditional HK-style ice room (冰室) serving affordable local comfort food and drinks, a nostalgic dining institution",fnb,high
hk-egg-tart,蛋撻,香港蛋撻,"Iconic HK baked pastry (蛋撻) with silky egg custard in flaky or cookie crust, the quintessential local bakery item and cha chaan teng staple",fnb,high
tomato-soup-beef-macaroni,蕃茄濃湯牛肉通粉,蕃茄濃湯牛肉通粉,"HK-style breakfast dish of macaroni in rich tomato soup with beef (蕃茄濃湯牛肉通粉), a cha chaan teng morning staple",fnb,high
tomato-thick-soup,蕃茄濃湯,蕃茄濃湯,"Rich HK-style concentrated tomato soup base (蕃茄濃湯) used in noodles, macaroni, and hotpot, a beloved local comfort food flavor",fnb,high
swiss-wing-lo-ding,瑞士雞翅撈丁,瑞士雞翼撈丁,"Iconic HK dish of Swiss sauce chicken wings over instant noodles (瑞士雞翼撈丁), a sweet-savory cha chaan teng creation despite having nothing to do with Switzerland",fnb,high
french-toast-hk,西多士,西多士,"HK-style deep-fried French toast (西多士) with peanut butter filling, served with butter and condensed milk, a cha chaan teng indulgence classic",fnb,high
hk-style-food,港式料理,港式美食,Distinctive Hong Kong culinary style blending Cantonese traditions with Western and Southeast Asian influences,fnb,low
dim-sum,港式飲茶,點心,"Traditional Cantonese small plates served in bamboo steamers, the quintessential HK dining experience from breakfast to lunch",fnb,high
siu-mei,叉燒,燒味,"Cantonese roasted meats (燒味) including char siu, roast duck, and crispy pork belly, a cornerstone of HK everyday dining",fnb,high
milk-tea,絲襪奶茶,奶茶,"HK-style milk tea (奶茶) made with strong Ceylon tea and evaporated milk, the defining beverage of cha chaan teng culture and HK identity",fnb,high
iced-lemon-tea,凍檸茶,凍檸茶,"Cold lemon tea (凍檸茶) with lemon slices, the most popular non-alcoholic cold drink in HK cha chaan teng and restaurants alongside milk tea",fnb,low
scrambled-egg-shrimp,滑蛋蝦仁,滑蛋蝦仁,"Silky scrambled eggs over peeled shrimp (滑蛋蝦仁), a classic Cantonese comfort dish served over rice or noodles at HK eateries",fnb,high
yuanyang,鴛鴦奶茶,鴛鴦,"HK original beverage (鴛鴦) blending coffee and milk tea, a beloved cha chaan teng drink representing HK's East-meets-West identity",fnb,high
scrambled-egg-sandwich,滑蛋三文治,滑蛋三文治,"HK-style sandwich with fluffy scrambled eggs (滑蛋三文治), a classic cha chaan teng breakfast and tea-time item",fnb,low
bing-sutt,香港茶記,冰室,"Traditional HK-style ice room (冰室) serving affordable local comfort food and drinks, a nostalgic dining institution",fnb,high
